strategyName,strategySource,symbol,date,channel,tier,observationType,bottomScore,riskFlags,fwd126,adverse126
baseline_formal_plus_obs_addon_v1,observation,CAT,2022-07-14,,,OBS-D,73,"low_volume,no_repair",0.5215084021389782,-0.037475891086975244
baseline_formal_plus_obs_addon_v1,formal,CAT,2025-04-04,MB,Strong,,82,no_repair,0.734201421672189,-0.04908357394594465
baseline_formal_plus_obs_addon_v1,formal,CRM,2008-10-10,MB,Strong,,82,"trend_damage,no_repair",0.16461925166085978,-0.325552894777261
baseline_formal_plus_obs_addon_v1,formal,CRWD,2022-05-09,MB,Strong,,82,no_repair,-0.1322987112063162,-0.1322987112063162
baseline_formal_plus_obs_addon_v1,formal,CRWD,2022-11-04,MB,Strong,,82,no_repair,0.01865792512044595,-0.2574474519161527
baseline_formal_plus_obs_addon_v1,formal,JPM,2008-11-20,MB,Strong,,82,"trend_damage,no_repair",0.5847555024292812,-0.3116354279266653
baseline_formal_plus_obs_addon_v1,observation,JPM,2011-09-21,,,OBS-S,75,no_repair,0.4952962685082607,-0.05636662990712471
baseline_formal_plus_obs_addon_v1,observation,JPM,2018-10-11,,,OBS-S,75,no_repair,0.03283915880243504,-0.14787763264308396
baseline_formal_plus_obs_addon_v1,formal,JPM,2020-03-12,MB,Strong,,82,"trend_damage,no_repair",0.15673256329540108,-0.10244182226423892
baseline_formal_plus_obs_addon_v1,observation,JPM,2022-01-18,,,OBS-S,75,no_repair,-0.23045099284273463,-0.2743905147314224
baseline_formal_plus_obs_addon_v1,observation,LLY,2008-09-17,,,OBS-D,75,no_repair,-0.2552260131340718,-0.3572432755781103
baseline_formal_plus_obs_addon_v1,formal,LLY,2008-10-06,MB,Strong,,82,no_repair,-0.14727083977443733,-0.2652297018484244
baseline_formal_plus_obs_addon_v1,formal,LLY,2009-03-02,MB,Strong,,82,no_repair,0.2456945257959764,-0.010089540696016974
baseline_formal_plus_obs_addon_v1,formal,LLY,2015-08-24,RS,Strong,,67,no_repair,-0.06987325732934824,-0.10539613414971127
baseline_formal_plus_obs_addon_v1,observation,LLY,2018-02-09,,,OBS-S,74,no_repair,0.3606364956889416,-0.011984761562493174
baseline_formal_plus_obs_addon_v1,observation,LLY,2020-10-30,,,OBS-S,75,no_repair,0.4560551310593264,0.0
baseline_formal_plus_obs_addon_v1,formal,META,2020-03-12,MB,Strong,,82,no_repair,0.735547395884045,-0.05476816119273764
baseline_formal_plus_obs_addon_v1,formal,META,2025-04-04,MB,Strong,,82,no_repair,0.41995526808218275,-0.039763867974125455
baseline_formal_plus_obs_addon_v1,observation,MSFT,2010-05-07,,,OBS-S,75,no_repair,-0.028433631243509505,-0.18065149491508103
baseline_formal_plus_obs_addon_v1,observation,MSFT,2020-03-12,,,OBS-D,75,no_repair,0.4845377889945053,-0.026175731022794246
baseline_formal_plus_obs_addon_v1,observation,MSFT,2023-01-05,,,OBS-D,73,no_repair,0.4996549198539211,0.0
baseline_formal_plus_obs_addon_v1,observation,NVDA,2011-06-15,,,OBS-S,75,no_repair,-0.15742378856183126,-0.30053647164346997
baseline_formal_plus_obs_addon_v1,formal,NVDA,2025-04-04,MB,Strong,,82,no_repair,0.967589239071964,0.0
baseline_formal_plus_obs_addon_v1,formal,PLTR,2022-05-09,MB,Strong,,82,"trend_damage,no_repair",-0.05898124061266796,-0.10053619251539525
baseline_formal_plus_obs_addon_v1,formal,QQQ,2008-10-08,MB,Strong,,82,no_repair,0.02014152231797417,-0.21086748860397864
baseline_formal_plus_obs_addon_v1,observation,QQQ,2011-03-16,,,OBS-S,75,no_repair,0.026083393712862613,-0.07270665681294197
baseline_formal_plus_obs_addon_v1,observation,QQQ,2014-10-16,,,OBS-S,74,no_repair,0.17931447604019168,0.0
baseline_formal_plus_obs_addon_v1,observation,QQQ,2018-03-23,,,OBS-S,75,no_repair,0.16146157647001336,-0.018926153495786413
baseline_formal_plus_obs_addon_v1,observation,QQQ,2022-04-26,,,OBS-D,75,no_repair,-0.1004982992809581,-0.17477877132362785
baseline_formal_plus_obs_addon_v1,observation,QQQ,2022-10-03,,,OBS-D,68,,0.17109299833565128,-0.047672647682451386
baseline_formal_plus_obs_addon_v1,observation,QQQ,2022-10-11,,,OBS-D,69,no_repair,0.21952236052036422,-0.008600861973105944
baseline_formal_plus_obs_addon_v1,observation,QQQ,2022-12-28,,,OBS-D,68,no_repair,0.4244498693291656,0.0
baseline_formal_plus_obs_addon_v1,formal,QQQ,2025-04-04,MB,Strong,,82,no_repair,0.4410716594403066,-0.0156387416861552
baseline_formal_plus_obs_addon_v1,observation,QQQ,2026-03-27,,,OBS-S,71,no_repair,,-0.00764333545868201
baseline_formal_plus_obs_addon_v1,formal,SPY,2008-10-10,MB,Strong,,82,no_repair,-0.032278068079047983,-0.224147645232173
baseline_formal_plus_obs_addon_v1,observation,SPY,2008-10-16,,,OBS-D,75,,-0.09662680591459738,-0.2677515426712237
baseline_formal_plus_obs_addon_v1,formal,SPY,2020-03-12,MB,Strong,,82,no_repair,0.3596039574110068,-0.09612281987943971
baseline_formal_plus_obs_addon_v1,observation,TSLA,2011-08-05,,,OBS-S,75,no_repair,0.3118810716236091,-0.09447217838961386
baseline_formal_plus_obs_addon_v1,observation,TSLA,2016-06-24,,,OBS-S,75,no_repair,0.07921300615219895,-0.06057466047664661
baseline_formal_plus_obs_addon_v1,observation,TSLA,2019-05-31,,,OBS-S,75,"trend_damage,no_repair",0.7892093882222457,-0.03343059616543187
baseline_formal_plus_obs_addon_v1,formal,TSLA,2020-03-19,MB,Strong,,83,,3.950776207372921,-0.0002571736151377735
baseline_formal_plus_obs_addon_v1,formal,TSLA,2022-10-13,MB,Strong,,84,,-0.1564135294228569,-0.5124481423463603
baseline_formal_plus_obs_addon_v1,observation,TSM,2012-05-31,,,OBS-S,75,no_repair,0.30313250940817626,-0.05171141479320196
baseline_formal_plus_obs_addon_v1,observation,TSM,2016-01-07,,,OBS-S,75,no_repair,0.3143734637228208,-0.02938377079288823
baseline_formal_plus_obs_addon_v1,observation,TSM,2022-03-14,,,OBS-D,73,no_repair,-0.19831631543032235,-0.23137664974250882
baseline_formal_plus_obs_addon_v1,formal,TSM,2022-07-01,MB,Strong,,82,no_repair,-0.021611784325233474,-0.21271527075379693
baseline_formal_plus_obs_addon_v1,formal,TSM,2025-04-04,MB,Strong,,82,no_repair,1.0740001168054039,-0.036989009242885285
baseline_formal_plus_obs_addon_v1,formal,UNH,2009-03-02,MB,Strong,,82,no_repair,0.6144861999790796,-0.06464529769928362
baseline_formal_plus_obs_addon_v1,observation,UNH,2025-04-17,,,OBS-S,75,no_repair,-0.20416378038285166,-0.4726874691002084
baseline_formal_plus_obs_addon_v1,formal,V,2009-01-20,MB,Strong,,82,no_repair,0.5886296136564537,0.0
baseline_formal_plus_obs_addon_v1,formal,V,2011-08-08,RS,Strong,,72,no_repair,0.3555579019227799,0.0
baseline_formal_plus_obs_addon_v1,observation,WMT,2009-01-08,,,OBS-D,75,no_repair,-0.06391013863397255,-0.09653549708151166
baseline_formal_plus_obs_addon_v1,observation,WMT,2009-04-24,,,OBS-S,71,no_repair,0.0660245810371285,-0.0009086325963738595
baseline_formal_plus_obs_addon_v1,formal,WMT,2022-05-19,MB,Strong,,82,no_repair,0.2483797721787493,-0.006550736295656057
baseline_formal_plus_obs_addon_v1,observation,XOM,2010-01-29,,,OBS-S,75,no_repair,-0.061348982948106534,-0.1102633944346556
baseline_formal_plus_obs_addon_v1,observation,XOM,2010-06-29,,,OBS-S,75,no_repair,0.29884701514513945,-0.012567937900144432
baseline_formal_plus_obs_addon_v1,formal,XOM,2020-03-12,MB,Strong,,82,"trend_damage,no_repair",0.03446724076174856,-0.15411504977049084
baseline_formal_plus_obs_addon_v1,observation,XOM,2020-09-11,,,OBS-S,75,no_repair,0.7045339415270429,-0.1444444743488189
baseline_formal_plus_obs_addon_v1,formal,XOM,2022-06-17,RS,Strong,,71,no_repair,0.23744011782206687,-0.03460273452405005
baseline_formal_plus_obs_addon_v1,observation,XOM,2025-04-07,,,OBS-D,75,no_repair,0.1306136565379148,-0.029240414228717704
